"case_id","title","status","start_date","end_date","officer_id"
1,"Case 1: Bank Fraud","Solved","2024-01-05","2024-02-10",1
2,"Case 2: Cyber Attack","Unsolved","2024-02-12",NULL,2
3,"Case 3: Drug Raid","Solved","2024-01-20","2024-03-01",3
4,"Case 4: ATM Theft","Solved","2024-03-05","2024-03-20",4
5,"Case 5: Identity Theft","Unsolved","2024-04-01",NULL,2
6,"Case 6: Kidnapping","Solved","2024-02-01","2024-02-28",5
7,"Case 7: Murder","Unsolved","2024-05-01",NULL,1
8,"Case 8: Drug Smuggling","Solved","2024-01-10","2024-02-15",3
9,"Case 9: Online Scam","Unsolved","2024-06-01",NULL,6
10,"Case 10: Property Dispute","Solved","2024-03-01","2024-04-10",7
11,"Case 11: Bank Robbery","Solved","2024-02-15","2024-03-05",8
12,"Case 12: Assault","Unsolved","2024-04-15",NULL,9
13,"Case 13: Hit & Run","Solved","2024-01-25","2024-02-05",10
14,"Case 14: Arson","Solved","2024-02-10","2024-03-20",1
15,"Case 15: Phone Hacking","Unsolved","2024-05-20",NULL,2
16,"Case 16: Chain Snatching","Solved","2024-06-10","2024-06-15",12
17,"Case 17: Forgery","Unsolved","2024-05-25",NULL,11
18,"Case 18: Human Trafficking","Solved","2024-01-10","2024-03-22",13
19,"Case 19: Cyber Fraud","Unsolved","2024-04-04",NULL,14
20,"Case 20: Vehicle Theft","Solved","2024-02-20","2024-03-01",15
21,"Case 21: Loan Scam","Solved","2024-03-15","2024-04-05",11
22,"Case 22: Child Abuse","Unsolved","2024-06-01",NULL,13
23,"Case 23: Identity Scam","Solved","2024-04-10","2024-05-05",14
24,"Case 24: Robbery","Unsolved","2024-07-01",NULL,15
25,"Case 25: Drug Possession","Solved","2024-05-15","2024-06-01",12
